what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1355239736183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1355239736879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1355239737515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1355239738176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1355239738677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355239746336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355239749163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355239751687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355239752902
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1355239753039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355239754383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355239756163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355239758620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355239765501
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1355240045729
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1355240045754
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1355240045822
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1355240045876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240045976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240047125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355240048250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240051095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240052543
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1355240052689
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1355240063290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1355240063556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355240074373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355240077710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240079941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240080862
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1355240080977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240091227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240103792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240106914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240113848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240116382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240117369
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1355240117486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240118511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240126168
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355240128081
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1355240128115
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355240128617
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355240128714
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355240139629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240141873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240144528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1355240144619
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355240144803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240147407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240148482
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1355240148602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240149311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240195477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240198720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240199784
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355240204960
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,21.0.0.v201210310015-519525,"overlay.com.android.ide.eclipse.adt.overlay",1355240205727
stopped,bundle,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.adt",1355240205729
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1355240205754
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1355240205757
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1355240205758
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1355240205760
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1355240205761
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1355240205764
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1355240205766
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1355240205768
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1355240205771
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1355240205773
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1355240205774
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1355240205783
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1355240205786
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1355240205787
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1355240205788
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1355240205788
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1355240205791
